# round=round3-host-scope fixture_sha=bf4d104 model=opus host_overlay=yes overlay_digest=backfilled sha_overridden=no auditors=2
auditor	exit	bytes
C1-guardrails-repo-only-control	0	20321
C2-guardrails-host-scoped	0	21168
